Trained_Weights,Dataset,Network,Overlap,OverlapdMode,MACs_GMac,Params_M,Train_Time_h,Peak_Train_Mem_GB,Infer_Lat_ms,Infer_Lat_p95_ms,Peak_Infer_Mem_GB,Dice_Spl,Dice_Rkid,Dice_Lkid,Dice_Gall,Dice_Eso,Dice_Liver,Dice_Sto,Dice_Aorta,Dice_IVC,Dice_Veins,Dice_Pan,Dice_Rad,Dice_Lad,Mean_Dice,HD_Spl,HD_Rkid,HD_Lkid,HD_Gall,HD_Eso,HD_Liver,HD_Sto,HD_Aorta,HD_IVC,HD_Veins,HD_Pan,HD_Rad,HD_Lad,Mean_HD
/root/output/E0_mednext_network_MedNeXt_M_fs48_roi96x96x96_vb1_cs4_overlap0.7_dsTrue_pretrain_False_lr_0.001,BTCV13,MedNeXt_M,0.7,constant,230.87,39.315,14.49,11.17,40.9,40.9,2.23,0.9291,0.8772,0.8865,0.8026,0.7658,0.9660,0.8342,0.9247,0.8917,0.7671,0.8134,0.7023,0.7259,0.8374,10.7958,5.0249,12.6461,4.8232,4.0740,5.2340,15.4499,1.2473,2.5026,4.2559,4.2086,2.2758,2.4351,5.7672
/root/output/E1_mednext_network_MedNeXt_M_EffiDec3D_fs48_n_decoder_channels48_rf2_skip_aggregation_addition_roi96x96x96_vb1_cs4_overlap0.7_dsFalse_pretrain_False_lr_0.001,BTCV13,MedNeXt_M_EffiDec3D,0.7,constant,106.91,12.946,7.59,5.87,18.7,18.7,1.26,0.9036,0.8564,0.8639,0.7903,0.7492,0.9676,0.8254,0.9209,0.8823,0.7394,0.7876,0.6061,0.6982,0.8147,11.4821,1.5907,19.7261,3.0317,4.1902,1.8168,20.9852,1.3997,2.7672,4.0416,8.6510,3.8011,2.3315,6.6011
